"","year","sex","name","n","prop"
"1",1880,"F","Mary",7065,0.0723843285111266
"2",1880,"F","Anna",2604,0.0266792344576042
"3",1880,"F","Emma",2003,0.0205216999303307
"4",1880,"F","Elizabeth",1939,0.0198659890988074
"5",1880,"F","Minnie",1746,0.017888611122495
"6",1880,"F","Margaret",1578,0.0161673701897463
"7",1880,"F","Ida",1472,0.0150813491250359
"8",1880,"F","Alice",1414,0.0144871111839679
"9",1880,"F","Bertha",1320,0.013524035900168
"10",1880,"F","Sarah",1288,0.0131961804844064
"11",1880,"F","Annie",1258,0.0128888160321298
"12",1880,"F","Clara",1226,0.0125609606163682
"13",1880,"F","Ella",1156,0.0118437768943896
"14",1880,"F","Florence",1063,0.0108909470923323
"15",1880,"F","Cora",1045,0.0107065284209664
"16",1880,"F","Martha",1040,0.0106553010122536
"17",1880,"F","Laura",1012,0.0103684275234622
"18",1880,"F","Nellie",995,0.0101942543338388
"19",1880,"F","Grace",982,0.0100610630711856
"20",1880,"F","Carrie",949,0.00972296217368141
"21",1880,"F","Maude",858,0.00879062333510922
"22",1880,"F","Mabel",808,0.00827834924798164
"23",1880,"F","Bessie",796,0.00815540346707102
"24",1880,"F","Jennie",793,0.00812466702184337
"25",1880,"F","Gertrude",787,0.00806319413138806
"26",1880,"F","Julia",783,0.00802221220441785
"27",1880,"F","Hattie",769,0.00787877546002213
"28",1880,"F","Edith",768,0.00786852997827958
"29",1880,"F","Mattie",704,0.00721281914675628
"30",1880,"F","Rose",700,0.00717183721978607
"31",1880,"F","Catherine",688,0.00704889143887546
"32",1880,"F","Lillian",672,0.00688496373099463
"33",1880,"F","Ada",652,0.0066800540961436
"34",1880,"F","Lillie",647,0.00662882668743084
"35",1880,"F","Helen",636,0.00651612638826278
"36",1880,"F","Jessie",635,0.00650588090652022
"37",1880,"F","Louise",635,0.00650588090652022
"38",1880,"F","Ethel",633,0.00648538994303512
"39",1880,"F","Lula",621,0.0063624441621245
"40",1880,"F","Myrtle",615,0.00630097127166919
"41",1880,"F","Eva",614,0.00629072578992664
"42",1880,"F","Frances",605,0.00619851645424368
"43",1880,"F","Lena",603,0.00617802549075858
"44",1880,"F","Lucy",590,0.00604483422810541
"45",1880,"F","Edna",588,0.0060243432646203
"46",1880,"F","Maggie",582,0.00596287037416499
"47",1880,"F","Pearl",569,0.00582967911151182
"48",1880,"F","Daisy",564,0.00577845170279907
"49",1880,"F","Fannie",560,0.00573746977582886
"50",1880,"F","Josephine",544,0.00557354206794804
"51",1880,"F","Dora",524,0.005368632433097
